event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,description,veh_type,corridor,priority,police_station,closed_datetime,resolved_datetime,zone,junction,zone_known,junction_known,hour_of_day,day_of_week,month,is_weekend,is_public_holiday,corridor_rolling_7d,corridor_rolling_30d,zone_rolling_7d,zone_rolling_30d,h3_cell,police_station_rolling_30d,priority_target,closure_target,clearance_time_minutes
unplanned,13.0432983,77.6079367,"MBT Road, SNN Clermont, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,2023-11-10 01:22:07.058000+00:00,closed,yes,Vehicle breakdown due to starting problem,lcv,ORR North 1,High,Hebbala,2023-11-10 02:24:49.178832+00:00,,North Zone 1,Junction_Unknown,True,False,1,4,11,0,0,0,0,0,0,8761892c8ffffff,0,High,0,62.70201386666667
unplanned,13.0141225,77.5660043,"Bharat Rathna Professor CN Rao Circle Underpass, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",others,False,2023-11-10 01:33:08.127000+00:00,closed,yes,Slow movement k 08 to yeshwantpur,Unknown_VehType,Tumkur Road,High,Sadashivanagar,2023-11-18 02:52:23.032540+00:00,,West Zone 2,Other_Junction,True,True,1,4,11,0,0,2,2,2,2,8760145b3ffffff,1,High,0,10000.0
unplanned,13.0141018,77.56591,"CV Raman Road, CNR Rao Circle, Indian Institute of Science, Bengaluru, Karnataka. Pin-560012 (India)",others,False,2023-11-10 01:34:33.186000+00:00,closed,yes,K 08 to maramm slow movement,Unknown_VehType,Tumkur Road,High,Sadashivanagar,2023-11-18 02:52:20.793390+00:00,,West Zone 2,Other_Junction,True,True,1,4,11,0,0,3,3,3,3,8760145b3ffffff,2,High,0,10000.0
unplanned,12.9446873,77.5972817,"14th Cross Road, Wilson Manor Apartment, Jayanagar East, Bengaluru, Karnataka. Pin-560011 (India)",vehicle_breakdown,False,2023-11-10 01:42:30.011000+00:00,closed,yes,,heavy_vehicle,Non-corridor,Low,Wilson Garden,,,Central Zone 2,Other_Junction,True,True,1,4,11,0,0,6,6,6,6,876189258ffffff,1,Low,0,
unplanned,12.9400211,77.7473129,"Varthur Main Road, Gandhi Circle, Varthur Marattahalli, Bengaluru, Karnataka. Pin-560087 (India)",road_conditions,False,2023-11-10 02:16:04.710000+00:00,closed,yes,Drain water coming to road varthur [PERSON] circle  more potholes traffic slow moving varthur ps towards Varthur varthur kodi. Nd varthur clg towards varthur ps sir,Unknown_VehType,Non-corridor,Low,Whitefield,2024-02-23 21:43:56.883112+00:00,,East Zone 1,Junction_Unknown,True,False,2,4,11,0,0,7,7,0,0,87618920effffff,0,Low,0,10000.0
unplanned,12.9533519,77.5421555,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,2023-11-10 03:13:04.389000+00:00,closed,yes,One side traffic slow moment,lcv,Mysore Road,High,Byatarayanapura,2023-11-10 04:12:14.213518+00:00,,West Zone 2,SatteliteBusStandJunc,True,True,3,4,11,0,0,2,2,4,4,8760145a2ffffff,0,High,0,59.16374196666666
unplanned,12.9775236,77.5854059,"Seshadri Road, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",accident,False,2023-11-10 03:14:19.546000+00:00,closed,yes,ಟಾಟಾ ಎಸಿ ಆಟೋಗೆ ಈ ಕಾರು [LOCATION] ಟಚ್ಚಾಗಿದ್ದು ಕಾರು ಸ್ಟಾರ್ಟಿಂಗ್ ಪ್ರಾಬ್ಲಮ್ ಆಗಿರುತ್ತದೆ,Unknown_VehType,Non-corridor,Low,Cubbon Park,,,Central Zone 2,K R Circle,True,True,3,4,11,0,0,8,8,7,7,8760145b4ffffff,1,Low,0,
unplanned,13.0362686,77.5248329,"Mumbai Bengaluru Highway, Sri Muneshwara Industrial Estate, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2023-11-10 03:21:00.257000+00:00,closed,yes,Peenya industries on flyover car off-road towards city traffic one side movement,private_car,Tumkur Road,High,Peenya,2023-11-10 03:39:12.056361+00:00,,West Zone 1,Other_Junction,True,True,3,4,11,0,0,4,4,1,1,876014591ffffff,0,High,0,18.19665601666667
unplanned,13.033575,77.58831,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,2023-11-10 03:34:33.419000+00:00,closed,yes,Starting problem,lcv,Bellary Road 1,High,Kodigehalli,2023-11-10 04:57:04.724025+00:00,,North Zone 2,Junction_Unknown,True,False,3,4,11,0,0,1,1,1,1,8761892c9ffffff,0,High,0,82.52175041666666
unplanned,13.0414837,77.5167294,"Mumbai Bengaluru Highway, Netaji Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",vehicle_breakdown,False,2023-11-10 03:36:34.159000+00:00,closed,no,Sm Circle on flyover LCV vehicle off-road towards city traffic one side movement,lcv,Tumkur Road,High,Peenya,2023-11-10 04:29:16.977588+00:00,,West Zone 1,Other_Junction,True,True,3,4,11,0,0,5,5,2,2,876014591ffffff,1,High,0,52.713643133333335
unplanned,13.0658815,77.5931957,"Bellary Road, Park View Layout, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",accident,False,2023-11-10 05:34:31.666000+00:00,closed,yes,,Unknown_VehType,Bellary Road 2,High,Kodigehalli,,,North Zone 1,Other_Junction,True,True,5,4,11,0,0,0,0,1,1,8761892cbffffff,1,High,0,
unplanned,12.9317517,77.5797388,"3rd Main Road, Block 6, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",vehicle_breakdown,False,2023-11-10 06:05:28.736000+00:00,closed,yes,[LOCATION] end towards 27th cross junction,truck,Non-corridor,Low,Jayanagara,2023-11-10 08:04:43.967899+00:00,,South Zone 1,Other_Junction,True,True,6,4,11,0,0,9,9,1,1,876189259ffffff,1,Low,0,119.25386498333334
unplanned,13.07549,77.5469283,"Hesarghatta Road, GK Muniappa Gardens, Singapura, Bengaluru, Karnataka. Pin-560097 (India)",vehicle_breakdown,False,2023-11-10 06:06:31.253000+00:00,resolved,yes,ನಮಸ್ತೆ ಸರ್ ನಾಗವಾರ ಟುವರ್ಡ್ ತಣಿಸಂದ್ರ ಹೋಗುವ ಮಾರ್ಗದಲ್ಲಿ ಬಿ ಎಂ [PERSON] ಸಿ ಬಸ್ ಆಫ್ ರೋಡ್ ಆಗಿರುತ್ತದೆ ಸೈಡಲ್ಲಿ ಇದ್ದು ಒಂದು ಆಗುತ್ತದೆ ಮೆಕಾನಿಕ್ [LOCATION] ಆದಷ್ಟು ಬೇಗ ರಿಮೋವ್ ಮಾಡಿಸುತ್ತೇನೆ ಸರ್,bmtc_bus,Hennur Main Road,High,Hennuru,,2023-11-10 07:21:41.463359+00:00,North Zone 1,Junction_Unknown,True,False,6,4,11,0,0,0,0,2,2,876014592ffffff,0,High,0,75.17017265
unplanned,12.9557349,77.58582,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",Other_Cause,False,2023-11-10 06:42:32.617000+00:00,closed,no,no,Unknown_VehType,Non-corridor,Low,Wilson Garden,2023-11-28 20:49:16.694336+00:00,,Central Zone 2,Other_Junction,True,True,6,4,11,0,0,10,10,8,8,87618925bffffff,2,Low,0,10000.0
unplanned,12.9951755,77.7580241,"Whitefield Main Road, MJR Pearl, Kadugodi, Bengaluru, Karnataka. Pin-560067 (India)",vehicle_breakdown,False,2023-11-10 07:33:05.108000+00:00,closed,no,BMTC bus off road at kadugodi flyover slow moving traffic towards Belathur,bmtc_bus,Non-corridor,Low,Mahadevapura,2023-11-10 08:18:44.438760+00:00,,East Zone 1,Junction_Unknown,True,False,7,4,11,0,0,11,11,1,1,876189218ffffff,0,Low,0,45.65551266666667
unplanned,12.8661065,77.5919105,"Bannerghatta Main Road, Kalena Agrahara, Bengaluru, Karnataka. Pin-560076 (India)",pot_holes,False,2023-11-10 07:33:31.549000+00:00,closed,yes,Water logging and too much traffic congestion,Unknown_VehType,Bannerghata Road,High,Hulimavu,2024-02-25 08:24:07.722681+00:00,,South Zone 1,Junction_Unknown,True,False,7,4,11,0,0,0,0,2,2,87618924cffffff,0,High,0,10000.0
unplanned,13.008543,77.5717493,"AH 47, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2023-11-10 07:35:25.308000+00:00,closed,yes,Infront of [LOCATION] cross,private_car,Non-corridor,Low,Malleshwaram,,,West Zone 2,Other_Junction,True,True,7,4,11,0,0,12,12,5,5,8760145b2ffffff,1,Low,0,
unplanned,13.0084952,77.5717525,"AH 47, Malleshwaram 18th Cross Junction, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2023-11-10 07:36:58.950000+00:00,closed,yes,Infront of [LOCATION] cross,private_car,Non-corridor,Low,Malleshwaram,,,West Zone 2,Other_Junction,True,True,7,4,11,0,0,13,13,6,6,8760145b2ffffff,2,Low,0,
unplanned,13.0302535,77.5372617,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2023-11-10 07:46:54.764000+00:00,closed,yes,[PERSON] out going electric bus battery problem sir,private_bus,Tumkur Road,High,Yeshwanthpura,,,West Zone 1,Other_Junction,True,True,7,4,11,0,0,6,6,3,3,876014595ffffff,0,High,0,
unplanned,12.8407422,77.6761962,"Hosur Road, Pramuk Aqua Heights, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,2023-11-10 08:43:53.240000+00:00,closed,yes,Vehicle off road due to starting problem,truck,Non-corridor,Low,Electronic City,2023-11-10 09:06:00.632272+00:00,,Zone_Unknown,Other_Junction,False,True,8,4,11,0,0,14,14,1,1,876189266ffffff,0,Low,0,22.123204533333332
unplanned,12.9160567,77.5855433,"47th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",others,False,2023-11-10 09:21:45.811000+00:00,closed,yes,@good evening sir vehicle slow moving sindhoor trds 35 th main [LOCATION] of [LOCATION] chamber open water flowing on road,Unknown_VehType,Non-corridor,Low,J.P. Nagar,2023-11-12 06:57:44.305413+00:00,,South Zone 1,Other_Junction,True,True,9,4,11,0,0,15,15,3,3,87618924affffff,0,Low,0,2735.9749068833335
unplanned,12.8701554,77.6532595,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,2023-11-10 19:23:34.823000+00:00,closed,yes,Hgv off road due to clutch problem,heavy_vehicle,Hosur Road,High,Electronic City,2023-11-10 20:51:59.113963+00:00,,South Zone 2,Other_Junction,True,True,19,4,11,0,0,0,0,1,1,876189244ffffff,1,High,0,88.40484938333334
unplanned,13.0395867,77.5433917,"Outer Ring Road, CQAE Staff Quarters, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2023-11-10 19:28:39.194000+00:00,closed,yes,Starting problem sir traffic one side moment sir,private_bus,ORR North 2,High,Jalahalli,2023-11-10 19:39:19.836357+00:00,,North Zone 2,Junction_Unknown,True,False,19,4,11,0,0,0,0,2,2,876014590ffffff,1,High,0,10.677372616666666
unplanned,12.9663399,77.6242556,"Old Airport Road, Nanavali Dargah, Agaram, Bengaluru, Karnataka. Pin-560007 (India)",vehicle_breakdown,False,2023-11-10 19:29:38.367000+00:00,closed,yes,[PERSON] to engene problem,lcv,Non-corridor,Low,Ashok Nagar,,,Central Zone 1,Other_Junction,True,True,19,4,11,0,0,16,16,2,2,8761892edffffff,1,Low,0,
unplanned,12.9666049,77.6242042,"Old Airport Road, Nanavali Dargah, Agaram, Bengaluru, Karnataka. Pin-560007 (India)",vehicle_breakdown,False,2023-11-10 19:32:19.747000+00:00,closed,yes,[PERSON] to engene problem sir,lcv,Non-corridor,Low,Halasur,,,Central Zone 1,Other_Junction,True,True,19,4,11,0,0,17,17,3,3,8761892edffffff,0,Low,0,
unplanned,13.2005963,77.6609968,"Bengaluru Bellary Road, Godrej MSR City, Akkalenahalli Mallena Halli, Bengaluru, Karnataka. Pin-562157 (India)",accident,False,2023-11-10 19:35:55.391000+00:00,closed,yes,2 ರಿಂದ 3 ಗಂಟೆಯಲ್ಲಿ ವಾಹನವನ್ನು ತೆರವುಗೊಳಿಸುತ್ತೆ  ಸರ್...,Unknown_VehType,Non-corridor,Low,Devanahalli Airport,,,Zone_Unknown,Junction_Unknown,False,False,19,4,11,0,0,18,18,2,2,87601690effffff,0,Low,0,
unplanned,12.9560112,77.5463879,"Mysore Road, Hosaguddadahalli, New Guddadahalli, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,2023-11-10 19:40:53.937000+00:00,closed,yes,Wheel jam,private_bus,Mysore Road,High,Byatarayanapura,,,West Zone 2,SatteliteBusStandJunc,True,True,19,4,11,0,0,3,3,7,7,8760145a2ffffff,1,High,0,
unplanned,12.9678267,77.5873567,"District Office Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,False,2023-11-10 20:01:00.064000+00:00,closed,yes,,bmtc_bus,Mysore Road,High,Halasuru Gate,2023-11-10 20:36:10.004219+00:00,,Central Zone 2,Other_Junction,True,True,20,4,11,0,0,4,4,9,9,8760145b4ffffff,2,High,0,35.16567031666667
unplanned,13.0259104,77.5347535,"Dr Rajkumar Puniya Bhoomi Road, Arge Urban Bloom, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",pot_holes,False,2023-11-10 20:14:52.521000+00:00,closed,yes,15 inches depth,Unknown_VehType,Non-corridor,Low,Yeshwanthpura,2023-11-12 22:50:23.241758+00:00,,West Zone 1,Other_Junction,True,True,20,4,11,0,0,19,19,4,4,876014595ffffff,1,Low,0,3035.5120126333336
unplanned,12.9744655,77.6140393,"Dickenson Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,2023-11-10 20:23:38.052000+00:00,closed,yes,407 tempo puncher at [LOCATION]...,lcv,Old Madras Road,High,Cubbon Park,,,Central Zone 1,Other_Junction,True,True,20,4,11,0,0,0,0,4,4,8761892e9ffffff,2,High,0,
unplanned,13.0415969,77.6126947,"1st Main Road, Veeranapalya Village, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",pot_holes,False,2023-11-10 20:32:11.301000+00:00,active,yes,[LOCATION] church cross road towards Ganesh satkar road sir,Unknown_VehType,ORR North 1,High,K.G. Halli,,,North Zone 1,"VeerannapalyaJunction(BEL,HO)",True,True,20,4,11,0,0,1,1,3,3,8761892c8ffffff,0,High,0,
unplanned,12.8997318,77.6008541,"Bannerghatta Main Road, Bilekahalli Layout, Bilekahalli, Bengaluru, Karnataka. Pin-560076 (India)",pot_holes,False,2023-11-10 20:59:16.139000+00:00,closed,yes,Infront of [PERSON] pot hole got open very dangers to two wheeler vehicles sir,Unknown_VehType,Bannerghata Road,High,Mico Layout,2023-11-13 20:34:33.817315+00:00,,South Zone 2,Other_Junction,True,True,20,4,11,0,0,1,1,2,2,87618924effffff,0,High,0,4295.294638583333
unplanned,13.0296745,77.5871846,"Bellary Road, UAS Quarters, UAS Campus, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,2023-11-10 21:08:51.518000+00:00,closed,yes,[LOCATION] flyover towards city,lcv,Bellary Road 1,High,Hebbala,,,North Zone 2,Junction_Unknown,True,False,21,4,11,0,0,2,2,3,3,8761892c9ffffff,1,High,0,
unplanned,12.927551,77.6213711,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",pot_holes,False,2023-11-10 21:35:23.409000+00:00,active,yes,,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,21,4,11,0,0,1,1,3,3,87618925cffffff,1,High,0,
unplanned,12.927554,77.6214074,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",pot_holes,False,2023-11-10 21:35:59.848000+00:00,active,no,,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,21,4,11,0,0,2,2,4,4,87618925cffffff,2,High,0,
unplanned,12.9275828,77.6213546,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",pot_holes,False,2023-11-10 21:36:16.754000+00:00,active,yes,,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,21,4,11,0,0,3,3,5,5,87618925cffffff,3,High,0,
unplanned,12.9275515,77.6214344,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",pot_holes,False,2023-11-10 21:36:41.535000+00:00,active,yes,,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,21,4,11,0,0,4,4,6,6,87618925cffffff,4,High,0,
unplanned,12.9076761,77.6279048,"Sir M Vishweshwaraiah Main Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,2023-11-10 21:44:33.093000+00:00,closed,yes,"One goods vehicle off road from [LOCATION] towards Roopen agrahar sir, due to wheel nutbolt cut sir, vehicle is left side parking, traffic normal movement sir, we will remove soon sir,",others,Hosur Road,High,Madiwala,,,South Zone 2,Other_Junction,True,True,21,4,11,0,0,1,1,7,7,876189242ffffff,0,High,0,
unplanned,12.984023,77.6037669,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",water_logging,False,2023-11-10 21:52:20.377000+00:00,closed,yes,Joty kefe water login sir,Unknown_VehType,Non-corridor,Low,Shivajinagar,,,Central Zone 2,Junction_Unknown,True,False,21,4,11,0,0,20,20,10,10,8761892e9ffffff,0,Low,0,
unplanned,12.9661294,77.606825,"Hosur Road, Shoolay Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",vehicle_breakdown,True,2023-11-10 22:06:26.248000+00:00,closed,yes,ರಿಪೇರಿ ಮಾಡಿಸಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ sir,others,Mysore Road,High,Ashok Nagar,,,Central Zone 1,Other_Junction,True,True,22,4,11,0,0,5,5,5,5,87618925affffff,2,High,1,
unplanned,12.9275393,77.6213229,"1st Cross Road, Koramangala Water Tank Junction, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",road_conditions,False,2023-11-10 22:13:58.683000+00:00,active,yes,Full gundi,Unknown_VehType,IRR(Thanisandra road),High,Adugodi,,,South Zone 2,Other_Junction,True,True,22,4,11,0,0,5,5,8,8,87618925cffffff,5,High,0,
unplanned,12.883647,77.6428944,"Hosur Road, Ramaiah Reddy Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,2023-11-10 23:11:01.862000+00:00,closed,yes,Tyre brust aagide sir [PERSON] change madtha idaare,auto,Hosur Road,High,Hulimavu,,,South Zone 2,Junction_Unknown,True,False,23,4,11,0,0,2,2,9,9,876189244ffffff,1,High,0,
unplanned,13.0087048,77.5691774,"Siddavanahalli Krishna Sharma Road, Sarangapani, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2023-11-11 01:11:03.087000+00:00,closed,yes,Air pipe damage sir,bmtc_bus,Non-corridor,Low,Malleshwaram,2023-11-11 02:22:13.271874+00:00,,West Zone 2,Other_Junction,True,True,1,5,11,1,0,21,21,8,8,8760145b2ffffff,3,Low,0,71.16974789999999
unplanned,12.9664091,77.587021,"Halasuru Gate Traffic Police Station, Cubbonpet Main Road, Ganigarpet, Dharmaraya Swamy Temple Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560002, India",accident,False,2023-11-11 01:42:40.316666+00:00,closed,yes,,Unknown_VehType,Mysore Road,High,Halasuru Gate,,,Central Zone 2,Other_Junction,True,True,1,5,11,1,0,6,6,11,11,87618925bffffff,3,High,0,
