event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,veh_type,corridor,priority,police_station,closed_datetime,resolved_datetime,zone,junction,zone_known,junction_known,hour_of_day,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,hour_bin,is_public_holiday,corridor_rolling_7d,corridor_rolling_30d,zone_rolling_7d,zone_rolling_30d,police_station_rolling_30d,police_station_rolling_7d,cause_x_corridor,cause_x_hour_bin,weekend_x_hour_bin,type_x_cause,h3_cell,events_within_1km,events_within_3km,events_within_5km,police_station_freq,h3_cell_freq,corridor_freq,desc_has_accident,desc_has_tree,desc_has_fire,desc_has_vip,desc_has_protest,priority_target,closure_target,clearance_time_minutes,clearance_time_log
unplanned,12.9533519,77.5421555,"Mysore Road, Iyannashetty Layout, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",vehicle_breakdown,False,2023-11-10 03:13:04.389000+00:00,closed,lcv,Mysore Road,High,Byatarayanapura,2023-11-10 04:12:14.213518+00:00,,West Zone 2,SatteliteBusStandJunc,True,True,3,4,11,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,2,2,4,4,0,0,vehicle_breakdown_Mysore Road,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,8760145a2ffffff,0,2,4,0.0,0.05,0.1,0,0,0,0,0,High,0,59.16374196666666,4.097069877951023
unplanned,13.0362686,77.5248329,"Mumbai Bengaluru Highway, Sri Muneshwara Industrial Estate, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2023-11-10 03:21:00.257000+00:00,closed,private_car,Tumkur Road,High,Peenya,2023-11-10 03:39:12.056361+00:00,,West Zone 1,Other_Junction,True,True,3,4,11,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,4,4,1,1,0,0,vehicle_breakdown_Tumkur Road,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,876014591ffffff,0,1,1,0.0,0.0,0.18181818181818182,0,0,0,0,0,High,0,18.19665601666667,2.9547360980665007
unplanned,13.033575,77.58831,"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",vehicle_breakdown,False,2023-11-10 03:34:33.419000+00:00,closed,lcv,Bellary Road 1,High,Kodigehalli,2023-11-10 04:57:04.724025+00:00,,North Zone 2,Junction_Unknown,True,False,3,4,11,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,1,1,1,1,0,0,vehicle_breakdown_Bellary Road 1,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,8761892c9ffffff,0,1,5,0.0,0.0,0.043478260869565216,0,0,0,0,0,High,0,82.52175041666666,4.425107081968671
unplanned,13.0414837,77.5167294,"Mumbai Bengaluru Highway, Netaji Nagar, T Dasarahalli, Bengaluru, Karnataka. Pin-560057 (India)",vehicle_breakdown,False,2023-11-10 03:36:34.159000+00:00,closed,lcv,Tumkur Road,High,Peenya,2023-11-10 04:29:16.977588+00:00,,West Zone 1,Other_Junction,True,True,3,4,11,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,night,0,5,5,2,2,1,1,vehicle_breakdown_Tumkur Road,vehicle_breakdown_night,0_night,unplanned_vehicle_breakdown,876014591ffffff,0,2,2,0.041666666666666664,0.041666666666666664,0.20833333333333334,0,0,0,0,0,High,0,52.713643133333335,3.9836670313197624
unplanned,12.9317517,77.5797388,"3rd Main Road, Block 6, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",vehicle_breakdown,False,2023-11-10 06:05:28.736000+00:00,closed,truck,Non-corridor,Low,Jayanagara,2023-11-10 08:04:43.967899+00:00,,South Zone 1,Other_Junction,True,True,6,4,11,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,9,9,1,1,1,1,vehicle_breakdown_Non-corridor,vehicle_breakdown_morning_rush,0_morning_rush,unplanned_vehicle_breakdown,876189259ffffff,0,4,9,0.038461538461538464,0.0,0.34615384615384615,0,0,0,0,0,Low,0,119.25386498333334,4.789605049702893
unplanned,13.07549,77.5469283,"Hesarghatta Road, GK Muniappa Gardens, Singapura, Bengaluru, Karnataka. Pin-560097 (India)",vehicle_breakdown,False,2023-11-10 06:06:31.253000+00:00,resolved,bmtc_bus,Hennur Main Road,High,Hennuru,,2023-11-10 07:21:41.463359+00:00,North Zone 1,Junction_Unknown,True,False,6,4,11,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,0,0,2,2,0,0,vehicle_breakdown_Hennur Main Road,vehicle_breakdown_morning_rush,0_morning_rush,unplanned_vehicle_breakdown,876014592ffffff,0,1,2,0.0,0.0,0.0,0,0,0,0,0,High,0,75.17017265,4.3329699510225375
unplanned,12.9557349,77.58582,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",Other_Cause,False,2023-11-10 06:42:32.617000+00:00,closed,Unknown_VehType,Non-corridor,Low,Wilson Garden,2023-11-28 20:49:16.694336+00:00,,Central Zone 2,Other_Junction,True,True,6,4,11,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,10,10,8,8,2,2,Other_Cause_Non-corridor,Other_Cause_morning_rush,0_morning_rush,unplanned_Other_Cause,87618925bffffff,1,7,13,0.07142857142857142,0.14285714285714285,0.35714285714285715,0,0,0,0,0,Low,0,26766.734622266667,10.19495250918563
unplanned,12.9951755,77.7580241,"Whitefield Main Road, MJR Pearl, Kadugodi, Bengaluru, Karnataka. Pin-560067 (India)",vehicle_breakdown,False,2023-11-10 07:33:05.108000+00:00,closed,bmtc_bus,Non-corridor,Low,Mahadevapura,2023-11-10 08:18:44.438760+00:00,,East Zone 1,Junction_Unknown,True,False,7,4,11,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,11,11,1,1,0,0,vehicle_breakdown_Non-corridor,vehicle_breakdown_morning_rush,0_morning_rush,unplanned_vehicle_breakdown,876189218ffffff,0,0,0,0.0,0.0,0.3793103448275862,0,0,0,0,0,Low,0,45.65551266666667,3.8427910910870136
unplanned,12.8661065,77.5919105,"Bannerghatta Main Road, Kalena Agrahara, Bengaluru, Karnataka. Pin-560076 (India)",pot_holes,False,2023-11-10 07:33:31.549000+00:00,closed,Unknown_VehType,Bannerghata Road,High,Hulimavu,2024-02-25 08:24:07.722681+00:00,,South Zone 1,Junction_Unknown,True,False,7,4,11,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,0,0,2,2,0,0,pot_holes_Bannerghata Road,pot_holes_morning_rush,0_morning_rush,unplanned_pot_holes,87618924cffffff,0,0,0,0.0,0.0,0.0,0,0,0,0,0,High,0,38078.83889102991,10.547440258093566
unplanned,12.8407422,77.6761962,"Hosur Road, Pramuk Aqua Heights, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,2023-11-10 08:43:53.240000+00:00,closed,truck,Non-corridor,Low,Electronic City,2023-11-10 09:06:00.632272+00:00,,Zone_Unknown,Other_Junction,False,True,8,4,11,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,14,14,1,1,0,0,vehicle_breakdown_Non-corridor,vehicle_breakdown_morning_rush,0_morning_rush,unplanned_vehicle_breakdown,876189266ffffff,0,0,0,0.0,0.0,0.4117647058823529,0,0,0,0,0,Low,0,22.123204533333332,3.1408366385824062
unplanned,12.9160567,77.5855433,"47th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",others,False,2023-11-10 09:21:45.811000+00:00,closed,Unknown_VehType,Non-corridor,Low,J.P. Nagar,2023-11-12 06:57:44.305413+00:00,,South Zone 1,Other_Junction,True,True,9,4,11,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,morning_rush,0,15,15,3,3,0,0,others_Non-corridor,others_morning_rush,0_morning_rush,unplanned_others,87618924affffff,1,2,7,0.0,0.0,0.42857142857142855,0,0,0,0,0,Low,0,2735.9749068833335,7.914608540888799
unplanned,12.8701554,77.6532595,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",vehicle_breakdown,False,2023-11-10 19:23:34.823000+00:00,closed,heavy_vehicle,Hosur Road,High,Electronic City,2023-11-10 20:51:59.113963+00:00,,South Zone 2,Other_Junction,True,True,19,4,11,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,evening_rush,0,0,0,1,1,1,1,vehicle_breakdown_Hosur Road,vehicle_breakdown_evening_rush,0_evening_rush,unplanned_vehicle_breakdown,876189244ffffff,0,0,1,0.027777777777777776,0.0,0.0,0,0,0,0,0,High,0,88.40484938333334,4.493174924369781
unplanned,13.0395867,77.5433917,"Outer Ring Road, CQAE Staff Quarters, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2023-11-10 19:28:39.194000+00:00,closed,private_bus,ORR North 2,High,Jalahalli,2023-11-10 19:39:19.836357+00:00,,North Zone 2,Junction_Unknown,True,False,19,4,11,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,evening_rush,0,0,0,2,2,1,1,vehicle_breakdown_ORR North 2,vehicle_breakdown_evening_rush,0_evening_rush,unplanned_vehicle_breakdown,876014590ffffff,0,3,10,0.02702702702702703,0.0,0.0,0,0,0,0,0,High,0,10.677372616666666,2.457653004892468
unplanned,12.9678267,77.5873567,"District Office Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,False,2023-11-10 20:01:00.064000+00:00,closed,bmtc_bus,Mysore Road,High,Halasuru Gate,2023-11-10 20:36:10.004219+00:00,,Central Zone 2,Other_Junction,True,True,20,4,11,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,late_night,0,4,4,9,9,2,2,vehicle_breakdown_Mysore Road,vehicle_breakdown_late_night,0_late_night,unplanned_vehicle_breakdown,8760145b4ffffff,1,9,17,0.047619047619047616,0.047619047619047616,0.09523809523809523,0,0,0,0,0,High,0,35.16567031666667,3.588110335085002
unplanned,13.0259104,77.5347535,"Dr Rajkumar Puniya Bhoomi Road, Arge Urban Bloom, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",pot_holes,False,2023-11-10 20:14:52.521000+00:00,closed,Unknown_VehType,Non-corridor,Low,Yeshwanthpura,2023-11-12 22:50:23.241758+00:00,,West Zone 1,Other_Junction,True,True,20,4,11,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,late_night,0,19,19,4,4,1,1,pot_holes_Non-corridor,pot_holes_late_night,0_late_night,unplanned_pot_holes,876014595ffffff,1,4,10,0.023255813953488372,0.023255813953488372,0.4418604651162791,0,0,0,0,0,Low,0,3035.5120126333336,8.018464771408624
unplanned,12.8997318,77.6008541,"Bannerghatta Main Road, Bilekahalli Layout, Bilekahalli, Bengaluru, Karnataka. Pin-560076 (India)",pot_holes,False,2023-11-10 20:59:16.139000+00:00,closed,Unknown_VehType,Bannerghata Road,High,Mico Layout,2023-11-13 20:34:33.817315+00:00,,South Zone 2,Other_Junction,True,True,20,4,11,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,late_night,0,1,1,2,2,0,0,pot_holes_Bannerghata Road,pot_holes_late_night,0_late_night,unplanned_pot_holes,87618924effffff,0,2,5,0.0,0.0,0.021739130434782608,0,0,0,0,0,High,0,4295.294638583333,8.365508218237116
unplanned,13.0087048,77.5691774,"Siddavanahalli Krishna Sharma Road, Sarangapani, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2023-11-11 01:11:03.087000+00:00,closed,bmtc_bus,Non-corridor,Low,Malleshwaram,2023-11-11 02:22:13.271874+00:00,,West Zone 2,Other_Junction,True,True,1,5,11,1,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,21,21,8,8,3,3,vehicle_breakdown_Non-corridor,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,8760145b2ffffff,5,6,15,0.05263157894736842,0.03508771929824561,0.3684210526315789,0,0,0,0,0,Low,0,71.16974789999999,4.279020953936886
unplanned,12.9644682,77.586015,"Sri Narsimha Rao Road, Unity Buildings, CSI Compound, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,False,2023-11-11 03:45:53.353000+00:00,closed,bmtc_bus,Mysore Road,High,Halasuru Gate,2023-11-11 04:29:19.365410+00:00,,Central Zone 2,TownhallJunction,True,True,3,5,11,1,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,7,7,12,12,4,4,vehicle_breakdown_Mysore Road,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,87618925bffffff,5,13,21,0.06666666666666667,0.1,0.11666666666666667,0,0,0,0,0,High,0,43.43354016666667,3.7939945934194474
unplanned,12.8461033,77.6589267,"Road Number 1, Phase 1, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",others,False,2023-11-11 04:31:20.436000+00:00,closed,Unknown_VehType,Non-corridor,Low,Electronic City,2023-11-11 05:02:29.170566+00:00,,Zone_Unknown,Other_Junction,False,True,4,5,11,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,23,23,4,4,2,2,others_Non-corridor,others_night,1_night,unplanned_others,876189260ffffff,0,2,3,0.03225806451612903,0.0,0.3709677419354839,0,0,0,0,0,Low,0,31.145576100000003,3.470274839349371
unplanned,13.0198716,77.7091574,"MBT Road, Zero Tolerance Junction, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",vehicle_breakdown,True,2023-11-11 04:48:47.417000+00:00,closed,lcv,Non-corridor,Low,K.R. Pura,2023-11-11 07:28:04.759870+00:00,,East Zone 2,Junction_Unknown,True,False,4,5,11,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,24,24,0,0,0,0,vehicle_breakdown_Non-corridor,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,8761892f5ffffff,0,0,0,0.0,0.0,0.38095238095238093,0,0,0,0,0,Low,1,159.28904783333334,5.076978734345228
unplanned,13.0262013,77.6363894,"3rd C Main Road, Vasthav Sneha Enclave, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",vehicle_breakdown,False,2023-11-11 04:50:51.264000+00:00,closed,lcv,ORR North 1,High,Banaswadi,2023-11-11 06:22:12.375847+00:00,,North Zone 1,Other_Junction,True,True,4,5,11,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,2,2,4,4,0,0,vehicle_breakdown_ORR North 1,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,8761892eaffffff,0,0,2,0.0,0.0,0.03125,0,0,0,0,0,High,0,91.35186411666668,4.525605891787134
unplanned,12.9734483,77.5813283,"Palace Road, Mysore Bank Circle, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",vehicle_breakdown,False,2023-11-11 04:52:08.891000+00:00,closed,bmtc_bus,Non-corridor,Low,Upparpet,2023-11-11 05:42:22.962176+00:00,,Central Zone 2,Other_Junction,True,True,4,5,11,1,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,25,25,13,13,0,0,vehicle_breakdown_Non-corridor,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,8760145b4ffffff,2,13,28,0.0,0.046153846153846156,0.38461538461538464,0,0,0,0,0,Low,0,50.2345196,3.936413515804873
unplanned,13.0171019,77.5568573,"CV Raman Road, Salarpuria Satva Luxuria, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2023-11-11 05:42:13.019000+00:00,closed,bmtc_bus,Tumkur Road,High,Yeshwanthpura,2023-11-11 06:12:33.774849+00:00,,West Zone 2,YeshwanthpuraCircle,True,True,5,5,11,1,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,night,0,8,8,9,9,2,2,vehicle_breakdown_Tumkur Road,vehicle_breakdown_night,1_night,unplanned_vehicle_breakdown,8760145b3ffffff,0,9,14,0.029411764705882353,0.04411764705882353,0.11764705882352941,0,0,0,0,0,High,0,30.345930816666666,3.445084460142944
unplanned,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",others,False,2023-11-11 06:18:03.343000+00:00,closed,Unknown_VehType,Non-corridor,Low,Wilson Garden,2024-01-30 04:56:03.281509+00:00,,Central Zone 2,Other_Junction,True,True,6,5,11,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,morning_rush,0,26,26,14,14,3,3,others_Non-corridor,others_morning_rush,1_morning_rush,unplanned_others,87618925bffffff,3,13,25,0.04285714285714286,0.1,0.37142857142857144,0,0,0,0,0,Low,0,38078.83889102991,10.547440258093566
unplanned,13.0361679,77.5416999,"Outer Ring Road, CQAE Staff Quarters, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,True,2023-11-11 12:45:29.415000+00:00,closed,heavy_vehicle,ORR North 2,High,Yeshwanthpura,2023-11-11 13:32:40.727309+00:00,,West Zone 1,Junction_Unknown,True,False,12,5,11,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,midday,0,1,1,8,8,3,3,vehicle_breakdown_ORR North 2,vehicle_breakdown_midday,1_midday,unplanned_vehicle_breakdown,876014590ffffff,2,7,15,0.03896103896103896,0.012987012987012988,0.012987012987012988,0,0,0,0,0,High,1,47.18853848333333,3.875121201977626
planned,12.9817242,77.5700018,"Railway Road, Platform Road Junction, Sevashrama, Bengaluru, Karnataka. Pin-560023 (India)",construction,True,2023-11-11 18:05:46+00:00,closed,Unknown_VehType,Non-corridor,Low,Sheshadripuram,2023-11-12 08:59:58.578889+00:00,,Central Zone 2,Other_Junction,True,True,18,5,11,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,evening_rush,0,30,30,17,17,0,0,construction_Non-corridor,construction_evening_rush,1_evening_rush,planned_construction,8760145b5ffffff,0,14,29,0.0,0.0,0.36585365853658536,0,0,0,0,0,Low,1,894.2096481499999,6.79705793458709
unplanned,12.9636427,77.5841997,"Sri Narasimha Raj Wadiyar Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,False,2023-11-11 19:12:42.988000+00:00,closed,bmtc_bus,Mysore Road,High,Halasuru Gate,2023-11-11 20:52:07.948495+00:00,,Central Zone 2,TownhallJunction,True,True,19,5,11,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,evening_rush,0,8,8,18,18,5,5,vehicle_breakdown_Mysore Road,vehicle_breakdown_evening_rush,1_evening_rush,unplanned_vehicle_breakdown,87618925bffffff,6,18,28,0.060240963855421686,0.0963855421686747,0.0963855421686747,0,0,0,0,0,High,0,99.41600825,4.609321639268786
